order_item_id,order_id,product_id,quantity,price_each
1,1,1,1,79999
2,2,2,1,74999
3,3,3,2,4999
4,4,4,1,2499
5,5,5,3,1999
6,6,6,1,2999
7,7,7,1,6499
8,8,8,1,59999
9,9,9,1,55999
10,10,10,2,1499
11,11,1,1,79999
12,12,2,1,74999
13,13,3,1,4999
14,14,4,2,2499
15,15,5,1,1999
16,16,6,2,2999
17,17,7,1,6499
18,18,8,1,59999
19,19,9,2,55999
20,20,10,1,1499
21,21,5,2,1999
22,22,3,1,4999
23,23,4,3,2499
24,24,6,1,2999
25,25,1,1,79999
26,26,7,1,6499
27,27,8,1,59999
28,28,2,1,74999
29,29,9,1,55999
30,30,10,2,1499
31,31,6,1,2999
32,32,5,1,1999
33,33,3,1,4999
34,34,2,1,74999
35,35,9,1,55999
36,36,1,1,79999
37,37,7,1,6499
38,38,6,1,2999
39,39,9,1,55999
40,40,2,1,74999
41,41,5,1,1999
42,42,4,1,2499
43,43,10,2,1499
44,44,1,1,79999
45,45,2,1,74999
46,46,3,1,5999
47,47,5,2,1999
48,48,6,1,2999
49,49,9,1,9999
50,50,8,1,59999
