order_id,customer_id,order_date,total_amount,payment_mode
1,1,2024-01-05,79999,UPI
2,2,2024-01-08,74999,Credit Card
3,3,2024-01-10,9998,Debit Card
4,4,2024-01-15,2499,UPI
5,5,2024-01-18,5997,Cash
6,6,2024-01-20,2999,UPI
7,7,2024-01-22,6499,Credit Card
8,8,2024-01-25,59999,Net Banking
9,9,2024-01-28,55999,UPI
10,10,2024-01-30,2998,Debit Card
11,11,2024-02-02,79999,Credit Card
12,12,2024-02-05,74999,Net Banking
13,13,2024-02-08,4999,UPI
14,14,2024-02-10,4998,Cash
15,15,2024-02-12,1999,UPI
16,6,2024-02-14,5998,Credit Card
17,7,2024-02-16,6499,UPI
18,8,2024-02-18,59999,Debit Card
19,9,2024-02-20,111998,Credit Card
20,10,2024-02-22,1499,Cash
21,11,2024-02-24,3998,UPI
22,12,2024-02-26,4999,Net Banking
23,13,2024-02-28,7497,Credit Card
24,14,2024-03-01,2999,UPI
25,15,2024-03-03,79999,Debit Card
26,2,2024-03-05,6499,Credit Card
27,5,2024-03-07,59999,UPI
28,9,2024-03-10,74999,Cash
29,13,2024-03-12,55999,Net Banking
30,14,2024-03-14,2998,UPI
31,1,2024-03-16,1499,Cash
32,3,2024-03-18,2999,UPI
33,4,2024-03-20,1999,Debit Card
34,5,2024-03-22,4999,Credit Card
35,6,2024-03-24,74999,Net Banking
36,7,2024-03-26,55999,Cash
37,8,2024-03-28,79999,UPI
38,9,2024-03-30,2999,Credit Card
39,10,2024-04-01,6499,UPI
40,11,2024-04-03,55999,Debit Card
41,12,2024-04-05,1999,Cash
42,13,2024-04-07,2499,Net Banking
43,14,2024-04-09,2998,UPI
44,15,2024-04-11,79999,Credit Card
45,2,2024-04-13,74999,Net Banking
46,3,2024-04-15,5999,UPI
47,5,2024-04-17,7999,Credit Card
48,7,2024-04-19,2999,Cash
49,9,2024-04-21,9999,Debit Card
50,8,2024-04-23,59999,Net Banking
